[00:47:15] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:47:18] [ServerMain/INFO]: Loaded 7 recipes
[00:47:18] [ServerMain/INFO]: Loaded 1271 advancements
[00:47:19] [Server thread/INFO]: Starting minecraft server version 1.20.1
[00:47:19] [Server thread/INFO]: Loading properties
[00:47:19] [Server thread/INFO]: Default game type: SURVIVAL
[00:47:19] [Server thread/INFO]: Generating keypair
[00:47:19] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:47:19] [Server thread/INFO]: Using epoll channel type
[00:47:19] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:47:19] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:47:19] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:47:19] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:47:19] [Server thread/INFO]: Preparing level "world"
[00:47:32] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:47:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[00:47:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
